river_level,rainfall_rate,hour_of_day,month
1.83,0.21,0,1
1.83,0.21,1,1
1.83,0.21,2,1
1.83,0.21,3,1
1.83,0.21,4,1
1.83,0.31,5,1
1.83,0.52,6,1
1.83,0.73,7,1
1.83,0.94,8,1
1.83,1.04,9,1
1.83,1.15,10,1
1.83,1.25,11,1
1.83,1.36,12,1
1.83,1.57,13,1
1.83,3.65,14,1
1.83,4.17,15,1
1.83,3.13,16,1
1.83,2.09,17,1
1.83,1.57,18,1
1.83,1.25,19,1
1.83,1.04,20,1
1.83,0.83,21,1
1.83,0.63,22,1
1.83,0.42,23,1
1.83,0.46,0,1
1.83,0.46,1,1
1.83,0.46,2,1
1.83,0.46,3,1
1.83,0.46,4,1
1.83,0.69,5,1
1.83,1.15,6,1
1.83,1.62,7,1
1.83,2.08,8,1
1.83,2.31,9,1
1.83,2.54,10,1
1.83,2.77,11,1
1.83,3.0,12,1
1.83,3.46,13,1
1.83,8.08,14,1
1.83,9.24,15,1
1.83,6.93,16,1
1.83,4.62,17,1
1.83,3.46,18,1
1.83,2.77,19,1
1.83,2.31,20,1
1.83,1.85,21,1
1.83,1.39,22,1
1.83,0.92,23,1
1.94,0.38,0,1
1.94,0.38,1,1
1.94,0.38,2,1
1.94,0.38,3,1
1.94,0.38,4,1
1.94,0.57,5,1
1.94,0.94,6,1
1.94,1.32,7,1
1.94,1.7,8,1
1.94,1.89,9,1
1.94,2.08,10,1
1.94,2.26,11,1
1.94,2.45,12,1
1.94,2.83,13,1
1.94,6.61,14,1
1.94,7.55,15,1
1.94,5.66,16,1
1.94,3.77,17,1
1.94,2.83,18,1
1.94,2.26,19,1
1.94,1.89,20,1
1.94,1.51,21,1
1.94,1.13,22,1
1.94,0.75,23,1
1.97,0.02,0,1
1.97,0.02,1,1
1.97,0.02,2,1
1.97,0.02,3,1
1.97,0.02,4,1
1.97,0.02,5,1
1.97,0.04,6,1
1.97,0.06,7,1
1.97,0.07,8,1
1.97,0.08,9,1
1.97,0.09,10,1
1.97,0.1,11,1
1.97,0.1,12,1
1.97,0.12,13,1
1.97,0.28,14,1
1.97,0.32,15,1
1.97,0.24,16,1
1.97,0.16,17,1
1.97,0.12,18,1
1.97,0.1,19,1
1.97,0.08,20,1
1.97,0.06,21,1
1.97,0.05,22,1
1.97,0.03,23,1
1.92,0.11,0,1
1.92,0.11,1,1
1.92,0.11,2,1
1.92,0.11,3,1
1.92,0.11,4,1
1.92,0.16,5,1
1.92,0.27,6,1
1.92,0.37,7,1
1.92,0.48,8,1
1.92,0.53,9,1
1.92,0.59,10,1
1.92,0.64,11,1
1.92,0.69,12,1
1.92,0.8,13,1
1.92,1.87,14,1
1.92,2.14,15,1
1.92,1.6,16,1
1.92,1.07,17,1
1.92,0.8,18,1
1.92,0.64,19,1
1.92,0.53,20,1
1.92,0.43,21,1
1.92,0.32,22,1
1.92,0.21,23,1
1.89,0.08,0,1
1.89,0.08,1,1
1.89,0.08,2,1
1.89,0.08,3,1
1.89,0.08,4,1
1.89,0.12,5,1
1.89,0.21,6,1
1.89,0.29,7,1
1.89,0.37,8,1
1.89,0.41,9,1
1.89,0.46,10,1
1.89,0.5,11,1
1.89,0.54,12,1
1.89,0.62,13,1
1.89,1.45,14,1
1.89,1.66,15,1
1.89,1.24,16,1
1.89,0.83,17,1
1.89,0.62,18,1
1.89,0.5,19,1
1.89,0.41,20,1
1.89,0.33,21,1
1.89,0.25,22,1
1.89,0.17,23,1
1.86,0.02,0,1
1.86,0.02,1,1
1.86,0.02,2,1
1.86,0.02,3,1
1.86,0.02,4,1
1.86,0.03,5,1
1.86,0.05,6,1
1.86,0.07,7,1
1.86,0.09,8,1
1.86,0.1,9,1
1.86,0.11,10,1
1.86,0.12,11,1
1.86,0.13,12,1
1.86,0.15,13,1
1.86,0.34,14,1
1.86,0.39,15,1
1.86,0.29,16,1
1.86,0.2,17,1
1.86,0.15,18,1
1.86,0.12,19,1
1.86,0.1,20,1
1.86,0.08,21,1
1.86,0.06,22,1
1.86,0.04,23,1
1.8,0.06,0,1
1.8,0.06,1,1
1.8,0.06,2,1
1.8,0.06,3,1
1.8,0.06,4,1
1.8,0.09,5,1
1.8,0.16,6,1
1.8,0.22,7,1
1.8,0.28,8,1
1.8,0.32,9,1
1.8,0.35,10,1
1.8,0.38,11,1
1.8,0.41,12,1
1.8,0.47,13,1
1.8,1.11,14,1
1.8,1.27,15,1
1.8,0.95,16,1
1.8,0.63,17,1
1.8,0.47,18,1
1.8,0.38,19,1
1.8,0.32,20,1
1.8,0.25,21,1
1.8,0.19,22,1
1.8,0.13,23,1
1.76,0.06,0,1
1.76,0.06,1,1
1.76,0.06,2,1
1.76,0.06,3,1
1.76,0.06,4,1
1.76,0.09,5,1
1.76,0.15,6,1
1.76,0.2,7,1
1.76,0.26,8,1
1.76,0.29,9,1
1.76,0.32,10,1
1.76,0.35,11,1
1.76,0.38,12,1
1.76,0.44,13,1
1.76,1.02,14,1
1.76,1.16,15,1
1.76,0.87,16,1
1.76,0.58,17,1
1.76,0.44,18,1
1.76,0.35,19,1
1.76,0.29,20,1
1.76,0.23,21,1
1.76,0.17,22,1
1.76,0.12,23,1
1.72,0.0,0,1
1.72,0.0,1,1
1.72,0.0,2,1
1.72,0.0,3,1
1.72,0.0,4,1
1.72,0.0,5,1
1.72,0.0,6,1
1.72,0.0,7,1
1.72,0.0,8,1
1.72,0.0,9,1
1.72,0.0,10,1
1.72,0.0,11,1
1.72,0.0,12,1
1.72,0.0,13,1
1.72,0.0,14,1
1.72,0.0,15,1
1.72,0.0,16,1
1.72,0.0,17,1
1.72,0.0,18,1
1.72,0.0,19,1
1.72,0.0,20,1
1.72,0.0,21,1
1.72,0.0,22,1
1.72,0.0,23,1
1.69,0.0,0,1
1.69,0.0,1,1
1.69,0.0,2,1
1.69,0.0,3,1
1.69,0.0,4,1
1.69,0.0,5,1
1.69,0.01,6,1
1.69,0.01,7,1
1.69,0.01,8,1
1.69,0.01,9,1
1.69,0.01,10,1
1.69,0.01,11,1
1.69,0.01,12,1
1.69,0.02,13,1
1.69,0.04,14,1
1.69,0.04,15,1
1.69,0.03,16,1
1.69,0.02,17,1
1.69,0.02,18,1
1.69,0.01,19,1
1.69,0.01,20,1
1.69,0.01,21,1
1.69,0.01,22,1
1.69,0.0,23,1
1.67,0.01,0,1
1.67,0.01,1,1
1.67,0.01,2,1
1.67,0.01,3,1
1.67,0.01,4,1
1.67,0.01,5,1
1.67,0.01,6,1
1.67,0.02,7,1
1.67,0.02,8,1
1.67,0.03,9,1
1.67,0.03,10,1
1.67,0.03,11,1
1.67,0.03,12,1
1.67,0.04,13,1
1.67,0.09,14,1
1.67,0.1,15,1
1.67,0.08,16,1
1.67,0.05,17,1
1.67,0.04,18,1
1.67,0.03,19,1
1.67,0.03,20,1
1.67,0.02,21,1
1.67,0.02,22,1
1.67,0.01,23,1
1.64,0.0,0,1
1.64,0.0,1,1
1.64,0.0,2,1
1.64,0.0,3,1
1.64,0.0,4,1
1.64,0.0,5,1
1.64,0.0,6,1
1.64,0.0,7,1
1.64,0.0,8,1
1.64,0.0,9,1
1.64,0.0,10,1
1.64,0.0,11,1
1.64,0.0,12,1
1.64,0.0,13,1
1.64,0.0,14,1
1.64,0.0,15,1
1.64,0.0,16,1
1.64,0.0,17,1
1.64,0.0,18,1
1.64,0.0,19,1
1.64,0.0,20,1
1.64,0.0,21,1
1.64,0.0,22,1
1.64,0.0,23,1
1.61,0.0,0,1
1.61,0.0,1,1
1.61,0.0,2,1
1.61,0.0,3,1
1.61,0.0,4,1
1.61,0.0,5,1
1.61,0.0,6,1
1.61,0.0,7,1
1.61,0.0,8,1
1.61,0.0,9,1
1.61,0.0,10,1
1.61,0.0,11,1
1.61,0.0,12,1
1.61,0.01,13,1
1.61,0.01,14,1
1.61,0.01,15,1
1.61,0.01,16,1
1.61,0.01,17,1
1.61,0.01,18,1
1.61,0.0,19,1
1.61,0.0,20,1
1.61,0.0,21,1
1.61,0.0,22,1
1.61,0.0,23,1
1.59,0.0,0,1
1.59,0.0,1,1
1.59,0.0,2,1
1.59,0.0,3,1
1.59,0.0,4,1
1.59,0.0,5,1
1.59,0.0,6,1
1.59,0.0,7,1
1.59,0.0,8,1
1.59,0.0,9,1
1.59,0.0,10,1
1.59,0.0,11,1
1.59,0.0,12,1
1.59,0.0,13,1
1.59,0.0,14,1
1.59,0.0,15,1
1.59,0.0,16,1
1.59,0.0,17,1
1.59,0.0,18,1
1.59,0.0,19,1
1.59,0.0,20,1
1.59,0.0,21,1
1.59,0.0,22,1
1.59,0.0,23,1
1.57,0.0,0,1
1.57,0.0,1,1
1.57,0.0,2,1
1.57,0.0,3,1
1.57,0.0,4,1
1.57,0.0,5,1
1.57,0.0,6,1
1.57,0.0,7,1
1.57,0.0,8,1
1.57,0.0,9,1
1.57,0.0,10,1
1.57,0.0,11,1
1.57,0.0,12,1
1.57,0.01,13,1
1.57,0.01,14,1
1.57,0.01,15,1
1.57,0.01,16,1
1.57,0.01,17,1
1.57,0.01,18,1
1.57,0.0,19,1
1.57,0.0,20,1
1.57,0.0,21,1
1.57,0.0,22,1
1.57,0.0,23,1
1.56,0.02,0,1
1.56,0.02,1,1
1.56,0.02,2,1
1.56,0.02,3,1
1.56,0.02,4,1
1.56,0.03,5,1
1.56,0.05,6,1
